+2020-04-11-00.00.00 AirForce1  N°1.99633 E°79.30124
+2020-04-11-00.00.00 AirForce13  N°3.16789 E°75.44366
+2020-04-11-00.00.00 Army13  N°16.08327 E°80.54187
+2020-04-11-00.00.00 Navy13  N°14.40440 E°78.54504
+2020-04-11-00.00.00 AirForce14  N°19.33188 E°88.27680
+2020-04-11-00.00.00 Army14  N°21.14417 E°77.26359
+2020-04-11-00.00.00 Navy14  N°5.98108 E°75.06138
+2020-04-11-00.00.00 AirForce15  N°2.49632 E°77.69285
+2020-04-11-00.00.00 Army15  N°13.87040 E°75.92925
+2020-04-11-00.00.00 Navy15  N°18.70007 E°52.33062
+2020-04-11-00.00.00 AirForce16  N°6.84947 E°76.48861
+2020-04-11-00.00.00 Army16  N°26.58637 E°78.33502
+2020-04-11-00.00.00 Navy16  N°6.95824 E°101.88712
+2020-04-11-00.00.00 AirForce17  N°2.81513 E°89.87881
+2020-04-11-00.00.00 Army17  N°16.06265 E°79.07074
+2020-04-11-00.00.00 Navy17  N°3.52242 E°77.74291
+2020-04-11-00.00.00 AirForce18  N°5.44478 E°84.75198
+2020-04-11-00.00.00 Army18  N°27.80989 E°75.06206
+2020-04-11-00.00.00 Navy18  N°1.21010 E°70.97160
+2020-04-11-00.00.00 AirForce19  N°14.15723 E°82.41343
+2020-04-11-00.00.00 Army19  N°14.93488 E°78.85563
+2020-04-11-00.00.00 Navy19  N°11.57997 E°95.36401
+2020-04-11-00.00.00 AirForce20  N°14.01105 E°84.95523
+2020-04-11-00.00.00 Army20  N°29.11832 E°80.98842
+2020-04-11-00.00.00 Navy20  N°1.86245 E°76.76881
+2020-04-11-00.00.00 AirForce21  N°5.74464 E°71.23398
+2020-04-11-00.00.00 Army21  N°19.30441 E°78.01264
+2020-04-11-00.00.00 Navy21  N°19.08521 E°66.37942
+2020-04-11-00.00.00 AirForce22  N°15.51583 E°79.47436
+2020-04-11-00.00.00 Army22  N°26.12565 E°74.37848
+2020-04-11-00.00.00 Navy22  N°8.36370 E°95.45270
+2020-04-11-00.00.00 AirForce23  N°19.22546 E°86.30692
+2020-04-11-00.00.00 Army23  N°16.21620 E°80.72787
+2020-04-11-00.00.00 Navy23  N°3.04257 E°76.35460
+2020-04-11-00.00.00 AirForce24  N°16.08749 E°87.40048
+2020-04-11-00.00.00 Army24  N°22.55603 E°80.03774
+2020-04-11-00.00.00 Navy24  N°9.00671 E°102.94993
+2020-04-11-00.00.00 AirForce25  N°15.29839 E°87.23383
+2020-04-11-00.00.00 Army25  N°17.82601 E°73.94998
+2020-04-11-00.00.00 Navy25  N°16.86464 E°80.81893
+2020-04-11-00.00.00 AirForce26  N°14.00031 E°89.38922
+2020-04-11-00.00.00 Army26  N°25.77790 E°81.28017
+2020-04-11-00.00.00 Navy26  N°0.57639 E°78.48040
+2020-04-11-00.00.00 AirForce27  N°22.53900 E°84.83114
+2020-04-11-00.00.00 Army27  N°16.34252 E°81.41981
+2020-04-11-00.00.00 Navy27  N°3.43402 E°90.28332
+2020-04-11-00.00.00 AirForce28  N°24.90855 E°74.48811
+2020-04-11-00.00.00 Army28  N°24.73732 E°80.90840
+2020-04-11-00.00.00 Navy28  N°5.42243 E°74.92019
+2020-04-11-00.00.00 AirForce29  N°17.82516 E°74.53915
+2020-04-11-00.00.00 Army29  N°15.88251 E°74.52740
+2020-04-11-00.00.00 Navy29  N°2.05530 E°77.60437
+2020-04-11-00.00.00 AirForce30  N°5.56428 E°78.82224
+2020-04-11-00.00.00 Army30  N°28.36096 E°80.91455
+2020-04-11-00.00.00 Navy30  N°12.73628 E°23.22488
+2020-04-11-00.00.00 AirForce31  N°26.38185 E°83.74841
+2020-04-11-00.00.00 Army31  N°16.26800 E°77.04728
+2020-04-11-00.00.00 Navy31  N°9.18554 E°101.42821
+2020-04-11-00.00.00 AirForce32  N°14.06662 E°90.68985
+2020-04-11-00.00.00 Army32  N°27.18437 E°81.31960
+2020-04-11-00.00.00 Navy32  N°2.05630 E°76.86982
+2020-04-11-00.00.00 AirForce33  N°18.96439 E°85.51352
+2020-04-11-00.00.00 Army33  N°17.47148 E°74.19472
+2020-04-11-00.00.00 Navy33  N°6.91926 E°67.62628
+2020-04-11-00.00.00 AirForce34  N°13.28338 E°68.13404
+2020-04-11-00.00.00 Army34  N°22.85221 E°78.19529
+2020-04-11-00.00.00 Navy34  N°12.67404 E°72.17254
+2020-04-11-00.00.00 AirForce35  N°11.34285 E°87.86097
+2020-04-11-00.00.00 Army35  N°18.64868 E°76.10457
+2020-04-11-00.00.00 Navy35  N°4.86062 E°74.43950
+2020-04-11-00.00.00 AirForce36  N°21.73174 E°88.20007
+2020-04-11-00.00.00 Army36  N°20.99534 E°77.66968
+2020-04-11-00.00.00 Navy36  N°16.36398 E°62.79930
+2020-04-11-00.00.00 AirForce37  N°5.31737 E°75.31057
+2020-04-11-00.00.00 Army37  N°15.78811 E°75.58536
+2020-04-11-00.00.00 Navy37  N°11.74144 E°91.55707
+2020-04-11-00.00.00 AirForce38  N°25.62377 E°81.70124
+2020-04-11-00.00.00 Army38  N°29.94826 E°78.33600
+2020-04-11-00.00.00 Navy38  N°1.94417 E°75.95245
+2020-04-11-00.00.00 AirForce39  N°12.81992 E°66.55582
+2020-04-11-00.00.00 Army39  N°15.87149 E°75.05697
+2020-04-11-00.00.00 Navy39  N°14.17082 E°52.45724
+2020-04-11-00.00.00 AirForce40  N°2.78289 E°76.97936
+2020-04-11-00.00.00 Army40  N°26.30892 E°74.28476
+2020-04-11-00.00.00 Navy40  N°11.02613 E°98.87564
+2020-04-11-00.00.00 AirForce41  N°16.43055 E°80.51576
+2020-04-11-00.00.00 Army41  N°16.35808 E°76.60429
+2020-04-11-00.00.00 Navy41  N°3.04518 E°73.59383
+2020-04-11-00.00.00 AirForce42  N°15.20821 E°88.23060
+2020-04-11-00.00.00 Army42  N°22.67007 E°74.55796
+2020-04-11-00.00.00 Navy42  N°6.18186 E°80.51461
+2020-04-11-00.00.00 AirForce43  N°8.01750 E°89.02786
+2020-04-11-00.00.00 Army43  N°18.47984 E°78.75911
+2020-04-11-00.00.00 Navy43  N°9.15716 E°66.79248
+2020-04-11-00.00.00 AirForce44  N°9.95823 E°76.23520
+2020-04-11-00.00.00 Army44  N°23.06743 E°78.53758
+2020-04-11-00.00.00 Navy44  N°4.02498 E°75.45218
+2020-04-11-00.00.00 AirForce45  N°19.49194 E°68.07083
+2020-04-11-00.00.00 Army45  N°17.91069 E°77.11963
+2020-04-11-00.00.00 Navy45  N°9.52064 E°31.57307
+2020-04-11-00.00.00 AirForce46  N°11.99175 E°88.05799
+2020-04-11-00.00.00 Army46  N°24.63657 E°73.74525
+2020-04-11-00.00.00 Navy46  N°12.94493 E°82.29807
+2020-04-11-00.00.00 AirForce47  N°8.49497 E°66.67334
+2020-04-11-00.00.00 Army47  N°16.85017 E°77.75691
+2020-04-11-00.00.00 Navy47  N°1.78997 E°75.81856
+2020-04-11-00.00.00 AirForce48  N°12.75283 E°73.21267
+2020-04-11-00.00.00 Army48  N°20.69964 E°76.83062
+2020-04-11-00.00.00 Navy48  N°11.63046 E°56.66459
+2020-04-11-00.00.00 AirForce49  N°3.49328 E°75.40925
+2020-04-11-00.00.00 Army49  N°18.16924 E°78.95317
+2020-04-11-00.00.00 Navy49  N°14.39193 E°108.95377
+2020-04-11-00.00.00 AirForce50  N°18.33402 E°87.10056
+2020-04-11-00.00.00 Army50  N°25.44856 E°78.03361
+2020-04-11-00.00.00 Navy50  N°1.59876 E°74.03329
+2020-04-12-00.00.00 AirForce1  N°20.88790 E°82.59501
+2020-04-12-00.00.00 Army1  N°16.84696 E°73.39029
+2020-04-12-00.00.00 Navy1  N°9.06872 E°105.36244
+2020-04-12-00.00.00 AirForce2  N°13.89434 E°71.68863
+2020-04-12-00.00.00 Army2  N°28.17793 E°80.93530
+2020-04-12-00.00.00 Navy2  N°4.30153 E°73.71681
+2020-04-12-00.00.00 AirForce3  N°18.45377 E°79.38891
+2020-04-12-00.00.00 Army3  N°17.89727 E°78.78724
+2020-04-12-00.00.00 Navy3  N°10.07317 E°55.41462
+2020-04-12-00.00.00 AirForce4  N°16.41467 E°82.98915
+2020-04-12-00.00.00 Army4  N°24.21237 E°80.50503
+2020-04-12-00.00.00 Navy4  N°4.90728 E°80.96010
+2020-04-12-00.00.00 AirForce5  N°21.13074 E°68.08328
+2020-04-12-00.00.00 Army5  N°17.12143 E°79.16156
+2020-04-12-00.00.00 Navy5  N°0.74390 E°78.35405
+2020-04-12-00.00.00 AirForce6  N°8.12593 E°91.03343
+2020-04-12-00.00.00 Army6  N°25.86322 E°78.65338
+2020-04-12-00.00.00 Navy6  N°19.73894 E°54.97163
+2020-04-12-00.00.00 AirForce7  N°19.04574 E°86.52391
+2020-04-12-00.00.00 Army7  N°15.98402 E°78.30096
+2020-04-12-00.00.00 Navy7  N°5.88047 E°83.29078
+2020-04-12-00.00.00 AirForce8  N°21.75804 E°80.64286
+2020-04-12-00.00.00 Army8  N°27.16178 E°75.02865
+2020-04-12-00.00.00 Navy8  N°1.83218 E°76.00599
+2020-04-12-00.00.00 AirForce9  N°22.86186 E°75.91789
+2020-04-12-00.00.00 Army9  N°15.61124 E°74.66150
+2020-04-12-00.00.00 Navy9  N°11.53731 E°23.96106
+2020-04-12-00.00.00 AirForce10  N°17.38758 E°79.50741
+2020-04-12-00.00.00 Army10  N°22.91956 E°75.06534
+2020-04-12-00.00.00 Navy10  N°10.88535 E°86.60777
+2020-04-12-00.00.00 AirForce11  N°19.95012 E°92.19411
+2020-04-12-00.00.00 Army11  N°18.48665 E°73.99155
+2020-04-12-00.00.00 Navy11  N°4.60004 E°79.79008
+2020-04-12-00.00.00 AirForce12  N°16.75749 E°69.88570
+2020-04-12-00.00.00 Army12  N°29.32995 E°79.96305
+2020-04-12-00.00.00 Navy12  N°3.73143 E°58.28370
+2020-04-12-00.00.00 AirForce13  N°-0.18129 E°78.51329
+2020-04-12-00.00.00 Army13  N°18.57971 E°75.19239
+2020-04-12-00.00.00 Navy13  N°6.99542 E°66.79658
+2020-04-12-00.00.00 AirForce14  N°24.63627 E°83.59878
+2020-04-12-00.00.00 Army14  N°28.18243 E°78.53256
+2020-04-12-00.00.00 Navy14  N°5.14982 E°78.91897
+2020-04-12-00.00.00 AirForce15  N°17.92160 E°86.18717
+2020-04-12-00.00.00 Army15  N°15.86582 E°78.51068
+2020-04-12-00.00.00 Navy15  N°8.72186 E°101.81429
+2020-04-12-00.00.00 AirForce16  N°8.88297 E°67.57233
+2020-04-12-00.00.00 Army16  N°27.24724 E°79.33109
+2020-04-12-00.00.00 Navy16  N°13.54290 E°64.90781
+2020-04-12-00.00.00 AirForce17  N°14.15620 E°73.24024
+2020-04-12-00.00.00 Army17  N°15.88904 E°74.95973
+2020-04-12-00.00.00 Navy17  N°3.05455 E°80.39403
+2020-04-12-00.00.00 AirForce18  N°11.55509 E°69.24923
+2020-04-12-00.00.00 Army18  N°25.93091 E°81.86834
+2020-04-12-00.00.00 Navy18  N°9.66903 E°51.17517
+2020-04-12-00.00.00 AirForce19  N°14.43253 E°79.76950
+2020-04-12-00.00.00 Army19  N°15.89745 E°80.47227
+2020-04-12-00.00.00 Navy19  N°16.10901 E°84.52325
+2020-04-12-00.00.00 AirForce20  N°21.30672 E°77.68283
+2020-04-12-00.00.00 Army20  N°24.22970 E°81.86276
+2020-04-12-00.00.00 Navy20  N°6.75584 E°77.51770
+2020-04-12-00.00.00 AirForce21  N°23.40122 E°77.46384
+2020-04-12-00.00.00 Army21  N°14.23073 E°79.81959
+2020-04-12-00.00.00 Navy21  N°18.37772 E°84.01623
+2020-04-12-00.00.00 AirForce22  N°19.51466 E°66.95099
+2020-04-12-00.00.00 Army22  N°29.64313 E°79.59994
+2020-04-12-00.00.00 Navy22  N°9.07004 E°71.55133
+2020-04-12-00.00.00 AirForce23  N°1.86789 E°84.91017
+2020-04-12-00.00.00 Army23  N°18.62360 E°78.06212
+2020-04-12-00.00.00 Navy23  N°5.88384 E°77.10035
+2020-04-12-00.00.00 AirForce24  N°14.48557 E°81.44210
+2020-04-12-00.00.00 Army24  N°22.43080 E°79.17926
+2020-04-12-00.00.00 Navy24  N°6.10506 E°79.28402
+2020-04-12-00.00.00 AirForce25  N°25.85914 E°79.51287
+2020-04-12-00.00.00 Army25  N°18.21913 E°75.54049
+2020-04-12-00.00.00 Navy25  N°14.11985 E°97.03377
+2020-04-12-00.00.00 AirForce26  N°7.91713 E°80.30407
+2020-04-12-00.00.00 Army26  N°27.06508 E°75.97613
+2020-04-12-00.00.00 Navy26  N°2.27759 E°76.87211
+2020-04-12-00.00.00 AirForce27  N°2.22070 E°76.32889
+2020-04-12-00.00.00 Army27  N°14.84894 E°75.34853
+2020-04-12-00.00.00 Navy27  N°15.76807 E°42.92895
+2020-04-12-00.00.00 AirForce28  N°18.45122 E°83.19748
+2020-04-12-00.00.00 Army28  N°23.48927 E°77.53777
+2020-04-12-00.00.00 Navy28  N°6.49621 E°72.68406
+2020-04-12-00.00.00 AirForce29  N°10.01034 E°89.33884
+2020-04-12-00.00.00 Army29  N°19.38574 E°76.31171
+2020-04-12-00.00.00 Navy29  N°4.35135 E°74.45339
+2020-04-12-00.00.00 AirForce30  N°10.70974 E°71.47001
+2020-04-12-00.00.00 Army30  N°21.47121 E°78.15909
+2020-04-12-00.00.00 Navy30  N°11.18212 E°105.14568
+2020-04-12-00.00.00 AirForce31  N°13.38769 E°80.10225
+2020-04-12-00.00.00 Army31  N°17.86454 E°76.97679
+2020-04-12-00.00.00 Navy31  N°11.14525 E°84.70231
+2020-04-12-00.00.00 AirForce32  N°18.19238 E°72.95595
+2020-04-12-00.00.00 Army32  N°28.02600 E°80.39022
+2020-04-12-00.00.00 Navy32  N°4.16374 E°75.94981
+2020-04-12-00.00.00 AirForce33  N°8.43394 E°67.73690
+2020-04-12-00.00.00 Army33  N°14.50182 E°75.46249
+2020-04-12-00.00.00 Navy33  N°17.76415 E°54.86666
+2020-04-12-00.00.00 AirForce34  N°12.12451 E°81.55016
+2020-04-12-00.00.00 Army34  N°24.44755 E°81.91099
+2020-04-12-00.00.00 Navy34  N°8.17868 E°84.94225
+2020-04-12-00.00.00 AirForce35  N°18.99942 E°72.47488
+2020-04-12-00.00.00 Army35  N°18.78349 E°75.99324
+2020-04-12-00.00.00 Navy35  N°6.29339 E°77.68809
+2020-04-12-00.00.00 AirForce36  N°8.89133 E°70.92589
+2020-04-12-00.00.00 Army36  N°21.49739 E°75.41105
+2020-04-12-00.00.00 Navy36  N°9.99331 E°51.31943
+2020-04-12-00.00.00 AirForce37  N°3.53975 E°86.72524
+2020-04-12-00.00.00 Army37  N°17.18642 E°80.93986
+2020-04-12-00.00.00 Navy37  N°14.13716 E°73.25397
+2020-04-12-00.00.00 AirForce38  N°4.47928 E°71.20560
+2020-04-12-00.00.00 Army38  N°25.43919 E°76.02965
+2020-04-12-00.00.00 Navy38  N°3.61260 E°78.87062
+2020-04-12-00.00.00 AirForce39  N°19.37686 E°92.60540
+2020-04-12-00.00.00 Army39  N°17.04079 E°73.74962
+2020-04-12-00.00.00 Navy39  N°17.38130 E°31.84630
+2020-04-12-00.00.00 AirForce40  N°20.72749 E°69.98153
+2020-04-12-00.00.00 Army40  N°26.95275 E°74.10435
+2020-04-12-00.00.00 Navy40  N°14.39417 E°108.76142
+2020-04-12-00.00.00 AirForce41  N°12.46482 E°81.22614
+2020-04-12-00.00.00 Army41  N°16.59806 E°77.76242
+2020-04-12-00.00.00 Navy41  N°1.62841 E°77.64956
+2020-04-12-00.00.00 AirForce42  N°20.55490 E°85.96697
+2020-04-12-00.00.00 Army42  N°24.13147 E°75.09942
+2020-04-12-00.00.00 Navy42  N°8.32740 E°30.43438
+2020-04-12-00.00.00 AirForce43  N°2.00627 E°86.12124
+2020-04-12-00.00.00 Army43  N°15.77269 E°74.35261
+2020-04-12-00.00.00 Navy43  N°16.44467 E°85.68294
+2020-04-12-00.00.00 AirForce44  N°9.33767 E°70.29755
+2020-04-12-00.00.00 Army44  N°25.38445 E°78.01591
+2020-04-12-00.00.00 Navy44  N°0.79288 E°75.46092
+2020-04-12-00.00.00 AirForce45  N°13.50787 E°79.68129
+2020-04-12-00.00.00 Army45  N°18.27248 E°79.91676
+2020-04-12-00.00.00 Navy45  N°10.95014 E°27.15486
+2020-04-12-00.00.00 AirForce46  N°26.77544 E°82.65527
+2020-04-12-00.00.00 Army46  N°28.18631 E°76.61977
+2020-04-12-00.00.00 Navy46  N°9.86350 E°97.76940
+2020-04-12-00.00.00 AirForce47  N°18.66922 E°68.39564
+2020-04-12-00.00.00 Army47  N°16.69100 E°79.16069
+2020-04-12-00.00.00 Navy47  N°1.17764 E°75.40977
+2020-04-12-00.00.00 AirForce48  N°5.17877 E°74.75187
+2020-04-12-00.00.00 Army48  N°23.23704 E°77.52640
+2020-04-12-00.00.00 Navy48  N°11.31643 E°20.38556
+2020-04-12-00.00.00 AirForce49  N°7.29266 E°74.58701
+2020-04-12-00.00.00 Army49  N°14.88299 E°79.00581
+2020-04-12-00.00.00 Navy49  N°9.56428 E°79.97512
+2020-04-12-00.00.00 AirForce50  N°9.75429 E°68.93401
+2020-04-12-00.00.00 Army50  N°28.39574 E°79.82775
+2020-04-12-00.00.00 Navy50  N°1.14368 E°78.04436
+2020-04-13-00.00.00 AirForce1  N°1.24320 E°72.87095
+2020-04-13-00.00.00 Army1  N°15.08402 E°74.83357
+2020-04-13-00.00.00 Navy1  N°9.64009 E°105.67402
+2020-04-13-00.00.00 AirForce2  N°6.01666 E°81.29276
+2020-04-13-00.00.00 Army2  N°27.41757 E°82.40353
+2020-04-13-00.00.00 Navy2  N°3.31739 E°77.81403
+2020-04-13-00.00.00 AirForce3  N°10.95888 E°70.67894
+2020-04-13-00.00.00 Army3  N°15.06697 E°78.40292
+2020-04-13-00.00.00 Navy3  N°15.57891 E°47.83576
+2020-04-13-00.00.00 AirForce4  N°19.85055 E°83.28670
+2020-04-13-00.00.00 Army4  N°29.26805 E°78.12014
+2020-04-13-00.00.00 Navy4  N°16.20097 E°99.40370
+2020-04-13-00.00.00 AirForce5  N°20.18035 E°81.17671
+2020-04-13-00.00.00 Army5  N°13.99270 E°79.41605
+2020-04-13-00.00.00 Navy5  N°2.78273 E°74.20221
+2020-04-13-00.00.00 AirForce6  N°25.20236 E°84.68667
+2020-04-13-00.00.00 Army6  N°21.91142 E°81.51506
+2020-04-13-00.00.00 Navy6  N°17.60982 E°63.74704
+2020-04-13-00.00.00 AirForce7  N°5.12493 E°74.27985
+2020-04-13-00.00.00 Army7  N°15.34562 E°73.52575
+2020-04-13-00.00.00 Navy7  N°5.18821 E°92.51649
+2020-04-13-00.00.00 AirForce8  N°20.18794 E°76.08079
+2020-04-13-00.00.00 Army8  N°24.82429 E°81.82062
+2020-04-13-00.00.00 Navy8  N°3.97482 E°78.24401
+2020-04-13-00.00.00 AirForce9  N°10.30535 E°86.62969
+2020-04-13-00.00.00 Army9  N°17.41751 E°81.05140
+2020-04-13-00.00.00 Navy9  N°14.48566 E°42.53538
+2020-04-13-00.00.00 AirForce10  N°5.11774 E°82.94127
+2020-04-13-00.00.00 Army10  N°28.49804 E°76.82912
+2020-04-13-00.00.00 Navy10  N°12.68214 E°71.42052
+2020-04-13-00.00.00 AirForce11  N°17.15672 E°87.46750
+2020-04-13-00.00.00 Army11  N°15.85341 E°81.05096
+2020-04-13-00.00.00 Navy11  N°6.14205 E°76.91115
+2020-04-13-00.00.00 AirForce12  N°9.40240 E°77.04014
+2020-04-13-00.00.00 Army12  N°28.00315 E°74.69665
+2020-04-13-00.00.00 Navy12  N°7.70694 E°82.57632
+2020-04-13-00.00.00 AirForce13  N°17.64699 E°71.08487
+2020-04-13-00.00.00 Army13  N°16.90559 E°80.82100
+2020-04-13-00.00.00 Navy13  N°9.33435 E°104.86866
+2020-04-13-00.00.00 AirForce14  N°12.75294 E°93.38555
+2020-04-13-00.00.00 Army14  N°26.73114 E°80.58250
+2020-04-13-00.00.00 Navy14  N°2.62987 E°77.18327
+2020-04-13-00.00.00 AirForce15  N°25.38500 E°84.66128
+2020-04-13-00.00.00 Army15  N°17.65069 E°80.93104
+2020-04-13-00.00.00 Navy15  N°2.44185 E°66.14328
+2020-04-13-00.00.00 AirForce16  N°12.95982 E°75.83502
+2020-04-13-00.00.00 Army16  N°25.12360 E°77.33308
+2020-04-13-00.00.00 Navy16  N°6.73449 E°76.32889
+2020-04-13-00.00.00 AirForce17  N°12.32185 E°71.51934
+2020-04-13-00.00.00 Army17  N°15.86775 E°79.99529
+2020-04-13-00.00.00 Navy17  N°3.59457 E°74.01962
+2020-04-13-00.00.00 AirForce18  N°9.80494 E°73.19226
+2020-04-13-00.00.00 Army18  N°22.88009 E°78.67512
+2020-04-13-00.00.00 Navy18  N°12.95755 E°71.70992
+2020-04-13-00.00.00 AirForce19  N°9.68327 E°83.52270
+2020-04-13-00.00.00 Army19  N°13.76881 E°77.08539
+2020-04-13-00.00.00 Navy19  N°7.99905 E°111.86230
+2020-04-13-00.00.00 AirForce20  N°4.35948 E°83.78924
+2020-04-13-00.00.00 Army20  N°27.50380 E°79.91151
+2020-04-13-00.00.00 Navy20  N°2.66631 E°79.87518
+2020-04-13-00.00.00 AirForce21  N°-0.41016 E°83.02737
+2020-04-13-00.00.00 Army21  N°16.00440 E°74.51215
+2020-04-13-00.00.00 Navy21  N°4.01341 E°83.93606
+2020-04-13-00.00.00 AirForce22  N°10.35034 E°79.84783
+2020-04-13-00.00.00 Army22  N°27.94971 E°77.21661
+2020-04-13-00.00.00 Navy22  N°15.59943 E°87.92108
+2020-04-13-00.00.00 AirForce23  N°16.23967 E°70.42795
+2020-04-13-00.00.00 Army23  N°16.13776 E°76.27295
+2020-04-13-00.00.00 Navy23  N°1.56593 E°75.68852
+2020-04-13-00.00.00 AirForce24  N°25.21872 E°83.56342
+2020-04-13-00.00.00 Army24  N°22.21740 E°77.28989
+2020-04-13-00.00.00 Navy24  N°2.38087 E°82.96751
+2020-04-13-00.00.00 AirForce25  N°17.74940 E°67.69335
+2020-04-13-00.00.00 Army25  N°15.51398 E°73.76662
+2020-04-13-00.00.00 Navy25  N°12.26512 E°61.14427
+2020-04-13-00.00.00 AirForce26  N°15.95176 E°80.23804
+2020-04-13-00.00.00 Army26  N°26.24218 E°82.71623
+2020-04-13-00.00.00 Navy26  N°4.12234 E°79.40481
+2020-04-13-00.00.00 AirForce27  N°7.46236 E°88.37995
+2020-04-13-00.00.00 Army27  N°17.34742 E°80.17978
+2020-04-13-00.00.00 Navy27  N°3.93864 E°54.79722
+2020-04-13-00.00.00 AirForce28  N°3.60391 E°82.24617
+2020-04-13-00.00.00 Army28  N°23.72186 E°77.43202
+2020-04-13-00.00.00 Navy28  N°8.38328 E°103.94050
+2020-04-13-00.00.00 AirForce29  N°7.48569 E°78.70215
+2020-04-13-00.00.00 Army29  N°19.11107 E°76.09137
+2020-04-13-00.00.00 Navy29  N°5.79665 E°77.32394
+2020-04-13-00.00.00 AirForce30  N°16.17852 E°90.01416
+2020-04-13-00.00.00 Army30  N°24.72035 E°79.48506
+2020-04-13-00.00.00 Navy30  N°6.71283 E°40.56192
+2020-04-13-00.00.00 AirForce31  N°11.28482 E°72.76118
+2020-04-13-00.00.00 Army31  N°15.96210 E°77.77301
+2020-04-13-00.00.00 Navy31  N°12.61700 E°71.37075
+2020-04-13-00.00.00 AirForce32  N°10.78550 E°83.89933
+2020-04-13-00.00.00 Army32  N°24.21716 E°74.97120
+2020-04-13-00.00.00 Navy32  N°3.44644 E°76.52253
+2020-04-13-00.00.00 AirForce33  N°-1.09166 E°79.59093
+2020-04-13-00.00.00 Army33  N°17.48807 E°73.63575
+2020-04-13-00.00.00 Navy33  N°19.64474 E°56.37201
+2020-04-13-00.00.00 AirForce34  N°1.77239 E°76.10882
+2020-04-13-00.00.00 Army34  N°27.96358 E°76.78874
+2020-04-13-00.00.00 Navy34  N°10.26919 E°74.39405
+2020-04-13-00.00.00 AirForce35  N°18.63031 E°89.65117
+2020-04-13-00.00.00 Army35  N°15.26959 E°73.61879
+2020-04-13-00.00.00 Navy35  N°3.95117 E°76.87107
+2020-04-13-00.00.00 AirForce36  N°10.12978 E°91.09453
+2020-04-13-00.00.00 Army36  N°23.14040 E°77.04276
+2020-04-13-00.00.00 Navy36  N°9.98952 E°39.86148
+2020-04-13-00.00.00 AirForce37  N°13.68102 E°73.41190
+2020-04-13-00.00.00 Army37  N°17.68955 E°79.61822
+2020-04-13-00.00.00 Navy37  N°10.00650 E°65.63810
+2020-04-13-00.00.00 AirForce38  N°23.71387 E°74.90485
+2020-04-13-00.00.00 Army38  N°24.99740 E°75.81881
+2020-04-13-00.00.00 Navy38  N°5.61869 E°77.19602
+2020-04-13-00.00.00 AirForce39  N°17.55509 E°82.91292
+2020-04-13-00.00.00 Army39  N°16.48218 E°73.27170
+2020-04-13-00.00.00 Navy39  N°9.91987 E°35.56286
+2020-04-13-00.00.00 AirForce40  N°6.77941 E°86.44164
+2020-04-13-00.00.00 Army40  N°24.01742 E°80.83420
+2020-04-13-00.00.00 Navy40  N°16.54516 E°96.37841
+2020-04-13-00.00.00 AirForce41  N°12.75121 E°72.97408
+2020-04-13-00.00.00 Army41  N°15.84510 E°80.17470
+2020-04-13-00.00.00 Navy41  N°4.44378 E°75.90676
